ORF code	Gene name	dN	dS	dN/dS
YLR438W	CAR2	0.010	0.373	0.027
YGR116W	SPT6	0.010	0.333	0.030
YGR032W	GSC2	0.010	0.390	0.025
YNR043W	MVD1	0.010	0.328	0.030
YMR108W	ILV2	0.010	0.325	0.031
YMR161W	HLJ1	0.010	0.407	0.024
YNR055C	HOL1	0.010	0.390	0.025
YDR353W	TRR1	0.010	0.292	0.034
YHL003C	LAG1	0.010	0.342	0.029
YKR049C	FMP46	0.010	0.444	0.022
YCR072C	RSA4	0.010	0.350	0.029
YNL307C	MCK1	0.010	0.262	0.038
YKL216W	URA1	0.010	0.349	0.029
YDL132W	CDC53	0.010	0.358	0.028
YMR058W	FET3	0.010	0.465	0.021
YHR074W	QNS1	0.010	0.319	0.032
YIL090W	ICE2	0.010	0.257	0.039
YPL259C	APM1	0.010	0.291	0.035
YIR034C	LYS1	0.010	0.342	0.030
YNL016W	PUB1	0.010	0.310	0.033
YKR081C	RPF2	0.010	0.255	0.040
YJR025C	BNA1	0.010	0.387	0.026
YER103W	SSA4	0.010	0.412	0.025
YIL048W	NEO1	0.010	0.344	0.030
YLR109W	AHP1	0.010	0.302	0.034
YNR050C	LYS9	0.010	0.384	0.027
YIL068C	SEC6	0.010	0.299	0.034
YMR011W	HXT2	0.010	0.270	0.038
YOR198C	BFR1	0.010	0.242	0.042
YLL043W	FPS1	0.010	0.402	0.025
YDL134C	PPH21	0.010	0.466	0.022
YLR397C	AFG2	0.010	0.443	0.023
YLR113W	HOG1	0.010	0.290	0.036
YLL011W	SOF1	0.010	0.307	0.034
YBR011C	IPP1	0.010	0.109	0.094
YHR169W	DBP8	0.010	0.343	0.030
YJR133W	XPT1	0.010	0.583	0.018
YBL030C	PET9	0.010	0.169	0.062
YFR050C	PRE4	0.010	0.425	0.024
YLR363C	NMD4	0.010	0.503	0.021
YEL046C	GLY1	0.010	0.340	0.031
YMR093W	UTP15	0.011	0.342	0.031
YEL036C	ANP1	0.011	0.373	0.028
YOL129W	VPS68	0.011	0.296	0.036
YKL164C	PIR1	0.011	0.525	0.020
YNL154C	YCK2	0.011	0.334	0.031
YCR098C	GIT1	0.011	0.349	0.030
YMR197C	VTI1	0.011	0.360	0.029
YMR010W		0.011	0.352	0.030
YCL025C	AGP1	0.011	0.279	0.038
YNL191W	DUG3	0.011	0.302	0.035
YDR226W	ADK1	0.011	0.296	0.036
YGR055W	MUP1	0.011	0.346	0.031
YNR017W	TIM23	0.011	0.327	0.033
YLR274W	MCM5	0.011	0.418	0.026
YBL075C	SSA3	0.011	0.518	0.021
YOR128C	ADE2	0.011	0.395	0.027
YKR038C	KAE1	0.011	0.400	0.027
YHR121W	LSM12	0.011	0.223	0.049
YLL055W	YCT1	0.011	0.381	0.028
YNL001W	DOM34	0.011	0.355	0.030
YIL143C	SSL2	0.011	0.390	0.028
YPL203W	TPK2	0.011	0.269	0.041
YDL017W	CDC7	0.011	0.486	0.022
YLL028W	TPO1	0.011	0.335	0.033
YIL004C	BET1	0.011	0.412	0.026
YDL128W	VCX1	0.011	0.338	0.032
YOR157C	PUP1	0.011	0.240	0.046
YNL064C	YDJ1	0.011	0.286	0.038
YDR256C	CTA1	0.011	0.293	0.038
YKL096W-A	CWP2	0.011	0.182	0.060
YIL105C	SLM1	0.011	0.329	0.033
YHR096C	HXT5	0.011	0.341	0.032
YBR061C	TRM7	0.011	0.530	0.021
YNL288W	CAF40	0.011	0.305	0.036
YFR052W	RPN12	0.011	0.282	0.039
YDR105C	TMS1	0.011	0.438	0.025
YNR003C	RPC34	0.011	0.264	0.042
YPR103W	PRE2	0.011	0.385	0.029
YAR007C	RFA1	0.011	0.292	0.038
YNL117W	MLS1	0.011	0.387	0.029
YMR158W	MRPS8	0.011	0.409	0.027
YBR222C	PCS60	0.011	0.414	0.027
YBR021W	FUR4	0.011	0.277	0.040
YPR110C	RPC40	0.011	0.327	0.034
YBR023C	CHS3	0.011	0.365	0.031
YDR477W	SNF1	0.011	0.289	0.039
YGL225W	VRG4	0.011	0.257	0.044
YGR065C	VHT1	0.011	0.400	0.028
YCR004C	YCP4	0.011	0.371	0.030
YAR071W	PHO11	0.011	0.160	0.070
YBR002C	RER2	0.011	0.268	0.042
YNR031C	SSK2	0.011	0.473	0.024
YHR205W	SCH9	0.011	0.288	0.039
YER087C-B	SBH1	0.011	0.219	0.052
YGL184C	STR3	0.011	0.360	0.031
YOR230W	WTM1	0.011	0.367	0.031
YGR253C	PUP2	0.011	0.332	0.034
YOL010W	RCL1	0.011	0.310	0.037
YOR043W	WHI2	0.011	0.338	0.034
YHR203C	RPS4B	0.012	0.110	0.104
YNR052C	POP2	0.012	0.234	0.049
YDL201W	TRM8	0.012	0.318	0.036
YKL210W	UBA1	0.012	0.354	0.032
YJL173C	RFA3	0.012	0.387	0.030
YGR272C		0.012	0.365	0.031
YBR104W	YMC2	0.012	0.321	0.036
YDR058C	TGL2	0.012	0.439	0.026
YLR081W	GAL2	0.012	0.340	0.034
YOR142W	LSC1	0.012	0.448	0.026
YER090W	TRP2	0.012	0.488	0.024
YJR135W-A	TIM8	0.012	0.245	0.047
YNL161W	CBK1	0.012	0.465	0.025
YDR013W	PSF1	0.012	0.306	0.038
YAL062W	GDH3	0.012	0.387	0.030
YBR078W	ECM33	0.012	0.248	0.047
YOR357C	SNX3	0.012	0.175	0.067
YLR005W	SSL1	0.012	0.452	0.026
YKR093W	PTR2	0.012	0.317	0.037
YLR275W	SMD2	0.012	0.288	0.041
YDR086C	SSS1	0.012	0.146	0.080
YPL273W	SAM4	0.012	0.427	0.027
YIR022W	SEC11	0.012	0.291	0.041
YIL074C	SER33	0.012	0.711	0.017
YEL032W	MCM3	0.012	0.377	0.031
YPL196W	OXR1	0.012	0.367	0.032
YKL163W	PIR3	0.012	0.413	0.029
YBR006W	UGA2	0.012	0.401	0.029
YPR168W	NUT2	0.012	0.360	0.033
YGL044C	RNA15	0.012	0.215	0.055
YDR382W	RPP2B	0.012	0.055	0.215
YML078W	CPR3	0.012	0.505	0.024
YOR375C	GDH1	0.012	0.220	0.054
YKL009W	MRT4	0.012	0.228	0.052
YDL145C	COP1	0.012	0.342	0.035
YBL076C	ILS1	0.012	0.277	0.043
YJL060W	BNA3	0.012	0.510	0.023
YPR056W	TFB4	0.012	0.407	0.029
YJL082W	IML2	0.012	0.474	0.025
YKL189W	HYM1	0.012	0.365	0.033
YPL050C	MNN9	0.012	0.315	0.038
YBR251W	MRPS5	0.012	0.429	0.028
YDL080C	THI3	0.012	0.384	0.031
YNL183C	NPR1	0.012	0.401	0.030
YCL026C-B	HBN1	0.012	0.384	0.031
YPL010W	RET3	0.012	0.171	0.071
YMR309C	NIP1	0.012	0.267	0.045
YIL075C	RPN2	0.012	0.473	0.026
YFR009W	GCN20	0.012	0.384	0.031
YER145C	FTR1	0.012	0.232	0.052
YPR082C	DIB1	0.012	0.208	0.058
YLL061W	MMP1	0.012	0.428	0.028
YDR277C	MTH1	0.012	0.328	0.037
YGL252C	RTG2	0.012	0.401	0.030
YAR018C	KIN3	0.012	0.290	0.042
YGR061C	ADE6	0.012	0.399	0.031
YGR074W	SMD1	0.012	0.572	0.021
YML051W	GAL80	0.012	0.345	0.035
YDL051W	LHP1	0.012	0.239	0.051
YFR024C-A	LSB3	0.012	0.355	0.034
YFL014W	HSP12	0.012	0.195	0.063
YGR262C	BUD32	0.012	0.418	0.029
YGR105W	VMA21	0.012	0.457	0.027
YDR372C	VPS74	0.012	0.283	0.044
YDR189W	SLY1	0.012	0.491	0.025
YGR255C	COQ6	0.012	0.420	0.029
YLR300W	EXG1	0.012	0.417	0.029
YOR259C	RPT4	0.012	0.340	0.036
YDR021W	FAL1	0.012	0.333	0.037
YJL167W	ERG20	0.012	0.206	0.060
YER107C	GLE2	0.012	0.391	0.032
YHR039C	MSC7	0.012	0.311	0.040
YPL154C	PEP4	0.012	0.281	0.044
YJL179W	PFD1	0.012	0.393	0.032
YMR107W	SPG4	0.012	0.187	0.066
YLR348C	DIC1	0.013	0.294	0.043
YLR240W	VPS34	0.013	0.249	0.050
YDR525W-A	SNA2	0.013	0.362	0.035
YGR159C	NSR1	0.013	0.255	0.049
YOR222W	ODC2	0.013	0.337	0.037
YMR302C	YME2	0.013	0.401	0.031
YAL007C	ERP2	0.013	0.351	0.036
YDR388W	RVS167	0.013	0.299	0.042
YCR084C	TUP1	0.013	0.277	0.045
YBR039W	ATP3	0.013	0.226	0.056
YOR173W	DCS2	0.013	0.322	0.040
YER060W	FCY21	0.013	0.442	0.029
YLR262C	YPT6	0.013	0.329	0.039
YPL002C	SNF8	0.013	0.367	0.035
YGR286C	BIO2	0.013	0.269	0.048
YMR243C	ZRC1	0.013	0.383	0.033
YHR087W		0.013	0.455	0.028
YBR245C	ISW1	0.013	0.409	0.032
YJL026W	RNR2	0.013	0.299	0.043
YOL021C	DIS3	0.013	0.286	0.045
YOR272W	YTM1	0.013	0.266	0.049
YPR094W	RDS3	0.013	0.348	0.037
YCR034W	FEN1	0.013	0.160	0.081
YER056C	FCY2	0.013	0.385	0.033
YHR166C	CDC23	0.013	0.310	0.042
YGR155W	CYS4	0.013	0.355	0.036
YDL198C	GGC1	0.013	0.354	0.037
YGL187C	COX4	0.013	0.237	0.055
YPR019W	MCM4	0.013	0.280	0.046
YBR125C	PTC4	0.013	0.284	0.046
YAL025C	MAK16	0.013	0.288	0.045
YGL105W	ARC1	0.013	0.190	0.068
YBL102W	SFT2	0.013	0.360	0.036
YGR043C	NQM1	0.013	0.404	0.032
YGR211W	ZPR1	0.013	0.322	0.040
YEL012W	UBC8	0.013	0.309	0.042
YOR087W	YVC1	0.013	0.310	0.042
YLL039C	UBI4	0.013	0.599	0.022
YPR024W	YME1	0.013	0.418	0.031
YLR193C	UPS1	0.013	0.399	0.033
YOR326W	MYO2	0.013	0.360	0.036
YMR277W	FCP1	0.013	0.268	0.049
YOR382W	FIT2	0.013	0.184	0.071
YJL072C	PSF2	0.013	0.346	0.038
YFL053W	DAK2	0.013	0.236	0.056
YMR226C	TMA29	0.013	0.528	0.025
YDL108W	KIN28	0.013	0.473	0.028
YLR069C	MEF1	0.013	0.381	0.035
YHR094C	HXT1	0.013	0.293	0.045
YOL042W	NGL1	0.013	0.285	0.046
YIL160C	POT1	0.013	0.414	0.032
YPR051W	MAK3	0.013	0.284	0.046
YCL050C	APA1	0.013	0.250	0.053
YBR214W	SDS24	0.013	0.356	0.037
YCR057C	PWP2	0.013	0.327	0.040
YMR056C	AAC1	0.013	0.468	0.028
YNL111C	CYB5	0.013	0.233	0.057
YPL031C	PHO85	0.013	0.454	0.029
YNR032W	PPG1	0.013	0.422	0.032
YML124C	TUB3	0.013	0.544	0.024
YML064C	TEM1	0.013	0.323	0.041
YPL117C	IDI1	0.013	0.279	0.048
YJL212C	OPT1	0.013	0.318	0.042
YOR046C	DBP5	0.013	0.466	0.029
YLR100W	ERG27	0.013	0.369	0.036
YLR099C	ICT1	0.013	0.354	0.038
YMR296C	LCB1	0.013	0.378	0.035
YJR104C	SOD1	0.013	0.226	0.059
YPL204W	HRR25	0.013	0.286	0.047
YOL086C	ADH1	0.013	0.073	0.183
YKL060C	FBA1	0.013	0.050	0.270
YDR395W	SXM1	0.013	0.321	0.042
YFR010W	UBP6	0.013	0.309	0.043
YIL078W	THS1	0.013	0.328	0.041
YGL130W	CEG1	0.013	0.303	0.044
YML075C	HMG1	0.013	0.382	0.035
YOL002C	IZH2	0.013	0.332	0.040
YPL179W	PPQ1	0.013	0.358	0.037
YIR037W	HYR1	0.013	0.391	0.034
YJL172W	CPS1	0.013	0.361	0.037
YHR214W		0.013	0.233	0.057
YDR308C	SRB7	0.014	0.303	0.045
YLR386W	VAC14	0.014	0.341	0.040
YLR354C	TAL1	0.014	0.271	0.050
YBR265W	TSC10	0.014	0.316	0.043
YGL001C	ERG26	0.014	0.477	0.029
YDL006W	PTC1	0.014	0.363	0.038
YCR073W-A	SOL2	0.014	0.323	0.042
YBR085W	AAC3	0.014	0.447	0.030
YFR053C	HXK1	0.014	0.227	0.060
YHR098C	SFB3	0.014	0.329	0.041
YPR167C	MET16	0.014	0.325	0.042
YDR283C	GCN2	0.014	0.336	0.040
YDR238C	SEC26	0.014	0.280	0.049
YDR377W	ATP17	0.014	0.435	0.031
YDR084C	TVP23	0.014	0.606	0.022
YPL111W	CAR1	0.014	0.362	0.038
YHR020W		0.014	0.242	0.057
YAL048C	GEM1	0.014	0.378	0.036
YFR028C	CDC14	0.014	0.272	0.050
YER123W	YCK3	0.014	0.367	0.037
YDL147W	RPN5	0.014	0.314	0.044
YBR089C-A	NHP6B	0.014	0.441	0.031
YGL055W	OLE1	0.014	0.188	0.074
YFR021W	ATG18	0.014	0.263	0.052
YJR066W	TOR1	0.014	0.367	0.038
YOR016C	ERP4	0.014	0.252	0.055
YGR181W	TIM13	0.014	0.351	0.039
YDR046C	BAP3	0.014	0.381	0.036
YIL047C	SYG1	0.014	0.368	0.037
YLR380W	CSR1	0.014	0.456	0.030
YMR131C	RRB1	0.014	0.329	0.042
YLR216C	CPR6	0.014	0.332	0.042
YNL121C	TOM70	0.014	0.327	0.042
YJL124C	LSM1	0.014	0.215	0.065
YNR056C	BIO5	0.014	0.348	0.040
YNL243W	SLA2	0.014	0.327	0.043
YJL198W	PHO90	0.014	0.306	0.045
YKL045W	PRI2	0.014	0.296	0.047
YER154W	OXA1	0.014	0.330	0.042
YHR013C	ARD1	0.014	0.283	0.049
YLR163C	MAS1	0.014	0.404	0.035
YOR361C	PRT1	0.014	0.349	0.040
YOR244W	ESA1	0.014	0.486	0.029
YPL030W	TRM44	0.014	0.339	0.041
YDR047W	HEM12	0.014	0.374	0.037
YBR247C	ENP1	0.014	0.399	0.035
YAL026C	DRS2	0.014	0.374	0.038
YDR427W	RPN9	0.014	0.347	0.041
YLR289W	GUF1	0.014	0.370	0.038
YLR192C	HCR1	0.014	0.338	0.042
YMR145C	NDE1	0.014	0.320	0.044
YMR139W	RIM11	0.014	0.354	0.040
YGL238W	CSE1	0.014	0.278	0.051
YOL133W	HRT1	0.014	0.309	0.046
YCR059C	YIH1	0.014	0.421	0.034
YDR346C	SVF1	0.014	0.395	0.036
YGL211W	NCS6	0.014	0.415	0.034
YPL091W	GLR1	0.014	0.361	0.040
YJL033W	HCA4	0.014	0.331	0.043
YIL043C	CBR1	0.014	0.277	0.052
YER057C	HMF1	0.014	0.370	0.039
YNL132W	KRE33	0.014	0.385	0.037
YNL290W	RFC3	0.014	0.398	0.036
YML100W	TSL1	0.014	0.365	0.040
YOR159C	SME1	0.014	0.241	0.060
YJR107W		0.014	0.256	0.056
YLL019C	KNS1	0.015	0.335	0.043
YKL003C	MRP17	0.015	0.264	0.055
YDR406W	PDR15	0.015	0.371	0.039
YDR384C	ATO3	0.015	0.342	0.042
YML110C	COQ5	0.015	0.451	0.032
YNL185C	MRPL19	0.015	0.417	0.035
YJL003W	COX16	0.015	0.456	0.032
YDR536W	STL1	0.015	0.344	0.042
YOR260W	GCD1	0.015	0.293	0.050
YPR194C	OPT2	0.015	0.409	0.035
YNL021W	HDA1	0.015	0.328	0.044
YPR131C	NAT3	0.015	0.326	0.045
YOL124C	TRM11	0.015	0.475	0.031
YCR011C	ADP1	0.015	0.334	0.044
YDL213C	NOP6	0.015	0.532	0.027
YKL192C	ACP1	0.015	0.235	0.062
YCL044C	MGR1	0.015	0.320	0.046
YLR034C	SMF3	0.015	0.439	0.034
YIL035C	CKA1	0.015	0.200	0.074
YJR152W	DAL5	0.015	0.320	0.046
YFL028C	CAF16	0.015	0.436	0.034
YER021W	RPN3	0.015	0.299	0.049
YBR149W	ARA1	0.015	0.321	0.046
YMR088C	VBA1	0.015	0.258	0.057
YML041C	VPS71	0.015	0.511	0.029
YJR001W	AVT1	0.015	0.349	0.042
YHR018C	ARG4	0.015	0.362	0.041
YIR031C	DAL7	0.015	0.298	0.050
YLR078C	BOS1	0.015	0.373	0.040
YPR159W	KRE6	0.015	0.298	0.050
YKL211C	TRP3	0.015	0.315	0.047
YGR141W	VPS62	0.015	0.329	0.045
YHR139C	SPS100	0.015	0.403	0.037
YGR252W	GCN5	0.015	0.276	0.054
YMR298W	LIP1	0.015	0.426	0.035
YGR087C	PDC6	0.015	0.395	0.038
YDR011W	SNQ2	0.015	0.364	0.041
YKL002W	DID4	0.015	0.317	0.047
YKL166C	TPK3	0.015	0.346	0.043
YOL016C	CMK2	0.015	0.312	0.048
YNL003C	PET8	0.015	0.357	0.042
YER026C	CHO1	0.015	0.312	0.048
YNL251C	NRD1	0.015	0.345	0.043
YML098W	TAF13	0.015	0.330	0.045
YBL093C	ROX3	0.015	0.285	0.053
YLR172C	DPH5	0.015	0.579	0.026
YLR450W	HMG2	0.015	0.439	0.034
YEL071W	DLD3	0.015	0.331	0.045
YPL271W	ATP15	0.015	0.398	0.038
YGL163C	RAD54	0.015	0.366	0.041
YHR069C	RRP4	0.015	0.430	0.035
YLR375W	STP3	0.015	0.292	0.052
YDR339C	FCF1	0.015	0.471	0.032
YHR049W	FSH1	0.015	0.269	0.056
YNL281W	HCH1	0.015	0.220	0.069
YDR363W-A	SEM1	0.015	0.288	0.053
YLR220W	CCC1	0.015	0.294	0.052
YKR046C	PET10	0.015	0.318	0.048
YPL087W	YDC1	0.015	0.410	0.037
YAR003W	SWD1	0.015	0.320	0.047
YNL211C		0.015	0.286	0.053
YJL050W	MTR4	0.015	0.382	0.040
YCL054W	SPB1	0.015	0.234	0.065
YDR267C	CIA1	0.015	0.339	0.045
YDR456W	NHX1	0.015	0.398	0.038
YOL020W	TAT2	0.015	0.266	0.057
YBR200W	BEM1	0.015	0.293	0.052
YER077C		0.015	0.048	0.317
YOR161C	PNS1	0.015	0.362	0.042
YGL127C	SOH1	0.015	0.239	0.064
YJR068W	RFC2	0.015	0.266	0.058
YJL200C	ACO2	0.016	0.399	0.039
YGL232W	TAN1	0.016	0.392	0.040
YLR357W	RSC2	0.016	0.295	0.053
YBR171W	SEC66	0.016	0.455	0.034
YNL236W	SIN4	0.016	0.453	0.034
YOR276W	CAF20	0.016	0.171	0.090
YGR202C	PCT1	0.016	0.311	0.050
YBR162C	TOS1	0.016	0.347	0.045
YFL031W	HAC1	0.016	0.166	0.093
YNL014W	HEF3	0.016	0.443	0.035
YHR064C	SSZ1	0.016	0.242	0.064
YBR291C	CTP1	0.016	0.444	0.035
YPL004C	LSP1	0.016	0.363	0.043
YNL099C	OCA1	0.016	0.357	0.044
YDR497C	ITR1	0.016	0.348	0.045
YDR302W	GPI11	0.016	0.259	0.060
YCR063W	BUD31	0.016	0.211	0.074
YDR492W	IZH1	0.016	0.234	0.067
YGL043W	DST1	0.016	0.267	0.059
YKL142W	MRP8	0.016	0.375	0.042
YML125C	PGA3	0.016	0.147	0.106
YDL001W	RMD1	0.016	0.364	0.043
YDR432W	NPL3	0.016	0.332	0.047
YHR206W	SKN7	0.016	0.362	0.043
YOL146W	PSF3	0.016	0.525	0.030
YML016C	PPZ1	0.016	0.309	0.051
YER089C	PTC2	0.016	0.310	0.051
YDR429C	TIF35	0.016	0.225	0.070
YDR293C	SSD1	0.016	0.470	0.034
YJR049C	UTR1	0.016	0.539	0.029
YOR294W	RRS1	0.016	0.302	0.052
YGR121C	MEP1	0.016	0.391	0.040
YGR076C	MRPL25	0.016	0.353	0.045
YMR246W	FAA4	0.016	0.338	0.047
YNR013C	PHO91	0.016	0.292	0.055
YGL077C	HNM1	0.016	0.506	0.031
YLR056W	ERG3	0.016	0.276	0.058
YGL094C	PAN2	0.016	0.518	0.031
YER100W	UBC6	0.016	0.476	0.033
YBR093C	PHO5	0.016	0.447	0.036
YIL154C	IMP2	0.016	0.536	0.030
YNL280C	ERG24	0.016	0.257	0.062
YNL248C	RPA49	0.016	0.351	0.046
YGR094W	VAS1	0.016	0.274	0.058
YAR002C-A	ERP1	0.016	0.339	0.047
YKR065C	PAM17	0.016	0.401	0.040
YJL036W	SNX4	0.016	0.421	0.038
YJR117W	STE24	0.016	0.252	0.064
YMR002W	MIC17	0.016	0.313	0.051
YML012W	ERV25	0.016	0.167	0.096
YOL119C	MCH4	0.016	0.359	0.045
YDL045C	FAD1	0.016	0.328	0.049
YHR072W-A	NOP10	0.016	0.159	0.102
YCR005C	CIT2	0.016	0.397	0.041
YDL111C	RRP42	0.016	0.374	0.043
YIL138C	TPM2	0.016	0.263	0.062
YML008C	ERG6	0.016	0.302	0.054
YLL048C	YBT1	0.016	0.310	0.052
YDL159W	STE7	0.016	0.381	0.043
YLR383W	SMC6	0.016	0.341	0.048
YGR232W	NAS6	0.016	0.326	0.050
YNL081C	SWS2	0.016	0.516	0.031
YMR307W	GAS1	0.016	0.458	0.035
YLR438C-A	LSM3	0.016	0.377	0.043
YDL072C	YET3	0.016	0.355	0.046
YGR247W	CPD1	0.016	0.319	0.051
YML035C	AMD1	0.016	0.339	0.048
YLR371W	ROM2	0.016	0.371	0.044
YBR079C	RPG1	0.016	0.315	0.052
YNL101W	AVT4	0.016	0.448	0.037
YFR023W	PES4	0.016	0.382	0.043
YBL022C	PIM1	0.016	0.331	0.050
YLR092W	SUL2	0.016	0.375	0.044
YML070W	DAK1	0.017	0.366	0.045
YNL277W	MET2	0.017	0.448	0.037
YER049W	TPA1	0.017	0.340	0.049
YGL037C	PNC1	0.017	0.259	0.064
YDR297W	SUR2	0.017	0.329	0.050
YHR175W	CTR2	0.017	0.312	0.053
YJR105W	ADO1	0.017	0.217	0.076
YGR057C	LST7	0.017	0.368	0.045
YGL100W	SEH1	0.017	0.487	0.034
YHR042W	NCP1	0.017	0.305	0.054
YPL118W	MRP51	0.017	0.308	0.054
YLR087C	CSF1	0.017	0.403	0.041
YJL088W	ARG3	0.017	0.394	0.042
YCL034W	LSB5	0.017	0.436	0.038
YMR251W-A	HOR7	0.017	0.231	0.072
YMR313C	TGL3	0.017	0.430	0.039
YML127W	RSC9	0.017	0.266	0.063
YGL244W	RTF1	0.017	0.280	0.060
YGR100W	MDR1	0.017	0.381	0.044
YKL205W	LOS1	0.017	0.271	0.062
YAL009W	SPO7	0.017	0.289	0.058
YIL162W	SUC2	0.017	0.495	0.034
YFL016C	MDJ1	0.017	0.380	0.044
YKL138C	MRPL31	0.017	0.532	0.032
YDR321W	ASP1	0.017	0.330	0.051
YGR285C	ZUO1	0.017	0.203	0.083
YPR100W	MRPL51	0.017	0.376	0.045
YNL169C	PSD1	0.017	0.372	0.045
YOL030W	GAS5	0.017	0.432	0.039
YAL041W	CDC24	0.017	0.440	0.038
YMR004W	MVP1	0.017	0.296	0.057
YCL030C	HIS4	0.017	0.337	0.050
YMR033W	ARP9	0.017	0.419	0.041
YOR067C	ALG8	0.017	0.335	0.051
YCR037C	PHO87	0.017	0.456	0.037
YMR062C	ECM40	0.017	0.369	0.046
YOR348C	PUT4	0.017	0.425	0.040
YIL016W	SNL1	0.017	0.547	0.031
YDR448W	ADA2	0.017	0.586	0.029
YJL085W	EXO70	0.017	0.462	0.037
YDR375C	BCS1	0.017	0.438	0.039
YGR245C	SDA1	0.017	0.359	0.048
YIL022W	TIM44	0.017	0.339	0.050
YLR288C	MEC3	0.017	0.405	0.042
YLR234W	TOP3	0.017	0.386	0.044
YMR054W	STV1	0.017	0.295	0.058
YBR293W	VBA2	0.017	0.355	0.048
YHR027C	RPN1	0.017	0.329	0.052
YDR454C	GUK1	0.017	0.460	0.037
YNL268W	LYP1	0.017	0.370	0.046
YHR089C	GAR1	0.017	0.256	0.068
YKL110C	KTI12	0.017	0.325	0.053
YJR124C		0.017	0.293	0.059
YIR026C	YVH1	0.017	0.291	0.060
YHR030C	SLT2	0.017	0.299	0.058
YBR287W	ZSP1	0.017	0.347	0.050
YPL252C	YAH1	0.017	0.278	0.062
YDL225W	SHS1	0.017	0.404	0.043
YKR066C	CCP1	0.017	0.428	0.040
YOR337W	TEA1	0.017	0.312	0.055
YBR049C	REB1	0.017	0.336	0.051
YJL192C	SOP4	0.017	0.562	0.031
YDL222C	FMP45	0.017	0.345	0.050
YDL004W	ATP16	0.017	0.487	0.036
YDR172W	SUP35	0.017	0.338	0.051
YMR199W	CLN1	0.017	0.275	0.063
YKR039W	GAP1	0.017	0.455	0.038
YLR203C	MSS51	0.018	0.297	0.059
YDR301W	CFT1	0.018	0.370	0.047
YIL103W	DPH1	0.018	0.354	0.050
YLL031C	GPI13	0.018	0.307	0.057
YKL041W	VPS24	0.018	0.253	0.069
YBR003W	COQ1	0.018	0.470	0.037
YGL087C	MMS2	0.018	0.551	0.032
YNL007C	SIS1	0.018	0.460	0.038
YPR166C	MRP2	0.018	0.264	0.067
YLR027C	AAT2	0.018	0.325	0.054
YBR263W	SHM1	0.018	0.258	0.068
YIL129C	TAO3	0.018	0.345	0.051
YHR024C	MAS2	0.018	0.311	0.057
YGR049W	SCM4	0.018	0.351	0.050
YIL046W	MET30	0.018	0.353	0.050
YDR232W	HEM1	0.018	0.313	0.057
YNL123W	NMA111	0.018	0.371	0.048
YHR005C	GPA1	0.018	0.290	0.061
YER006W	NUG1	0.018	0.291	0.061
YBR132C	AGP2	0.018	0.297	0.060
YJL155C	FBP26	0.018	0.295	0.060
YEL006W	YEA6	0.018	0.382	0.046
YPL019C	VTC3	0.018	0.316	0.056
YPL082C	MOT1	0.018	0.390	0.046
YDL230W	PTP1	0.018	0.465	0.038
YBR014C	GRX6	0.018	0.076	0.235
YDL227C	HO	0.018	0.419	0.043
YMR202W	ERG2	0.018	0.264	0.068
YGR191W	HIP1	0.018	0.310	0.058
YOR049C	RSB1	0.018	0.368	0.049
YKL180W	RPL17A	0.018	0.140	0.128
YGR185C	TYS1	0.018	0.293	0.061
YHR186C	KOG1	0.018	0.353	0.051
YOL064C	MET22	0.018	0.255	0.070
YJR014W	TMA22	0.018	0.317	0.057
YJR137C	ECM17	0.018	0.360	0.050
YAL061W	BDH2	0.018	0.409	0.044
YBR037C	SCO1	0.018	0.342	0.053
YHR135C	YCK1	0.018	0.511	0.035
YOR086C	TCB1	0.018	0.419	0.043
YGR047C	TFC4	0.018	0.485	0.037
YFL030W	AGX1	0.018	0.325	0.056
YBR252W	DUT1	0.018	0.425	0.043
YKL212W	SAC1	0.018	0.377	0.048
YDR164C	SEC1	0.018	0.358	0.051
YGL209W	MIG2	0.018	0.265	0.068
YGL178W	MPT5	0.018	0.332	0.055
YOL055C	THI20	0.018	0.441	0.041
YIL084C	SDS3	0.018	0.509	0.036
YOR070C	GYP1	0.018	0.371	0.049
YOR027W	STI1	0.018	0.290	0.063
YLR390W	ECM19	0.018	0.484	0.038
YPR062W	FCY1	0.018	0.343	0.053
YOR002W	ALG6	0.018	0.355	0.052
YDR311W	TFB1	0.018	0.319	0.057
YGL078C	DBP3	0.018	0.382	0.048
YAL021C	CCR4	0.018	0.258	0.071
YPL263C	KEL3	0.018	0.369	0.050
YDL002C	NHP10	0.018	0.403	0.045
YMR008C	PLB1	0.018	0.362	0.051
YFL017W-A	SMX2	0.018	0.257	0.071
YML111W	BUL2	0.018	0.290	0.063
YPL023C	MET12	0.018	0.346	0.053
YEL063C	CAN1	0.018	0.350	0.053
YBL032W	HEK2	0.018	0.413	0.045
YPL057C	SUR1	0.018	0.552	0.033
YJL134W	LCB3	0.018	0.349	0.053
YMR319C	FET4	0.018	0.490	0.038
YOR226C	ISU2	0.019	0.262	0.071
YGL106W	MLC1	0.019	0.332	0.056
YBL024W	NCL1	0.019	0.326	0.057
YGL097W	SRM1	0.019	0.385	0.048
YBR041W	FAT1	0.019	0.330	0.056
YDR246W	TRS23	0.019	0.515	0.036
YLL008W	DRS1	0.019	0.336	0.055
YGL099W	LSG1	0.019	0.379	0.049
YOL140W	ARG8	0.019	0.423	0.044
